本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
ガラス器にぎつしり詰まり年男,-31.26414,0.20883864164352417,0.9999997019767761,年男,新年,,0,,4,"ガラス, ぎ, しり, 年男",17,7,柵にぎつしりつまり麦埃,9,本堂にぎつしりつまる藪蚊哉,9,青梅の目にぎつしりと喪中かな
竹林の日向に並ぶ年男,-31.267458,0.9838118553161621,0.9999997019767761,年男,新年,,1,並ぶ,3,"竹林, 日向, 年男",17,5,竹林の薄暮に遊ぶ白扇,6,黒膳の整然並ぶ年忘,6,弁天の御前に並ぶ蛙哉
約束の針を隠して年男,-31.267635,0.9863557815551758,0.9999997019767761,年男,新年,,1,隠し,3,"約束, 針, 年男",17,6,一門の人を集めて年忘,6,元日の地を威して玉霰,6,約束を一つ残して春隣
鉄橋の向うの端の年男,-31.281519,0.9848504066467285,0.9999987483024597,年男,新年,,0,,4,"鉄橋, 向う, 端, 年男",17,6,満汐の向ふの町の秋祭,6,満潮の向ふの町の秋祭,6,春禽の羽音の端の竹箒
年男入るを待てるもののなし,-31.308704,0.025780200958251953,0.9999996423721313,年男,新年,,2,"入る, 待てる",3,"年男, もの, なし",17,7,鍬始畝傍さへぎるもののなし,8,橙や火入れを待てる窯の前,8,冬日和鳶より高きもののなし
抽斗に熱の抜けたる年男,-31.316715,0.9879147410392761,0.9999997019767761,年男,新年,,1,抜け,3,"抽斗, 熱, 年男",17,6,松明に導かれたる年男,6,古稀過ぎの貌煤けたる年男,7,抽斗に臭気満ちたり日雷
鴉飛ぶ百万石の年男,-31.316751,0.7587200999259949,0.9999996423721313,年男,新年,,1,飛ぶ,5,"鴉, 百, 万, 石, 年男",17,6,雪吊の百万石の城曇る,7,懐手して鶴番の大男,7,雪吊りの百万石の城曇る
酒飲んで十七八の年男,-31.322887,0.53920978307724,0.9999974966049194,年男,新年,,1,飲ん,5,"酒, 十, 七, 八, 年男",17,7,蝮酒飲んで仮寝や雨の杣,7,酒飲んで男は話す青胡桃,8,二斗飲んで猿の腰掛年の内
一山の松を見てゐる年男,-31.327368,0.9839321374893188,0.9999997019767761,年男,新年,,2,"見, ゐる",3,"一山, 松, 年男",17,5,一輪の梅を見て来ぬ年忘,5,料峭の山を見てゐる里心,5,一舟の揺れを見てゐる濁酒
年男寄れば鋏の音すなり,-31.337317,0.9915356636047363,0.9999997019767761,年男,新年,,2,"寄れ, 音す",3,"年男, 鋏, 音",17,6,葛水や頤に玉の音すなり,6,年立てる海寧日の音すなり,6,朱欒叩けば春潮の音すなり
年男父となる日の海の色,-31.348047,0.9888749718666077,0.9999997019767761,年男,新年,,1,なる,5,"年男, 父, 日, 海, 色",17,6,棒状に燕来る日の海の紺,7,雪とんで元日の空海の色,7,凩や喪を終る日の袖の上
裏富士に垣繕へる年男,-31.351284,0.984491229057312,0.9999997019767761,年男,新年,,1,繕へ,4,"裏, 富士, 垣, 年男",17,7,小走りに妻従へる寒詣,7,裏富士の膚迫りて春隣,7,女手に垣繕へば鳴く鴉
火の山の裾を過ぎゆく年男,-31.36372,0.9902864694595337,0.9999997019767761,年男,新年,,1,過ぎゆく,4,"火, 山, 裾, 年男",17,6,山の日の軒を過ぎゆく目自籠,7,火の山の火を運ぶ鳥,7,火の山の裾に夏帽振る別れ
還らざることを怖れず年男,-31.370792,0.9888970255851746,0.9999997019767761,年男,新年,,2,"還ら, 怖れ",2,"こと, 年男",17,8,還らざる一歩の響き冬の山,8,人嫌ふこと許されず鳥頭,8,至らざることあるのみや秋扇
天龍寺門前に佇つ年男,-31.372837,0.9904699921607971,0.9999997019767761,年男,新年,,1,佇つ,3,"天龍, 門前, 年男",17,5,天龍寺門前に買ふ夕立傘,6,天王寺門前涼し牛休む,6,日盛や門前に打つ箔砧
年男帽子のかげにかくれけり,-31.374039,0.9866827726364136,0.9999995827674866,年男,新年,けり,1,かくれ,4,"年男, 帽子, かげ, けり",17,6,朝の月夷の飯にかくれけり,6,白馬岳春の吹雪にかくれけり,6,猟犬の荻の茂みにかくれけり
年男一かたまりに生れけり,-31.375015,0.975041389465332,0.9999997019767761,年男,新年,けり,1,生れ,3,"年男, 一かたまり, けり",17,7,蟷螂の草刈る傍に生れけり,7,月見草いたる処に萎れけり,7,蛙の子鮒子の中に生れけり
石ひとつ踏みかためたる年男,-31.394499,0.9737836718559265,0.9999997019767761,年男,新年,,1,踏みかため,2,"石ひ, 年男",17,8,松明に導かれたる年男,8,七福神雪踏みかため詣でけり,8,石橋を踏みならしたる袷哉
交番のよそよそしさよ年男,-31.405518,0.9600480794906616,0.9999997019767761,年男,新年,,0,,2,"交番, 年男",17,6,教室のよそよそしさよ休暇明け,7,白萩のよそよそしさを久し振り,8,最南の潮岬の涼しさよ
食卓に首出してゐる年男,-31.41321,0.9938536286354065,0.9999997019767761,年男,新年,,2,"首出し, ゐる",3,"食卓, 首, 年男",17,6,春蘭に首をかしげてゐる男,7,鶏の遠出してゐる葱の花,7,大空を動かしてゐる鰯雲
門前に出舟を待てる年男,-31.42233,0.9898471832275391,0.9999997019767761,年男,新年,,2,"出, 待てる",3,"門前, 舟, 年男",17,7,門前に昼を灯してかき氷,7,門前に代々棲みて通草棚,7,松明に導かれたる年男
久々に歌よみ習ふ年男,-31.431187,0.9875171184539795,0.9999992251396179,年男,新年,,1,習ふ,3,"久々, 歌, 年男",17,7,松明に導かれたる年男,8,かい抱く大三宝や年男,8,廟裏に生れみ仏の蝸牛
頬杖のしのび足なる年男,-31.435284,0.9864535331726074,0.9999996423721313,年男,新年,,0,,3,"頬杖, しのび足, 年男",17,7,俳諧の毒の只中なる秋風,7,紙漉の舟の上なる鏡餅,7,能因の墓の前なる籾筵
挽臼に火の廻りたる年男,-31.438448,0.9894068241119385,0.9999997019767761,年男,新年,,0,,4,"挽臼, 火, 廻り, 年男",17,6,松明に導かれたる年男,6,畦道に日の残りたる蛇苺,6,紅葉にも火の廻りたる落葉焚
ひとり子に茶を運ばせて年男,-31.4413,0.9888768792152405,0.9999997019767761,年男,新年,,1,運ば,3,"ひとり子, 茶, 年男",17,8,年用意父に大壷運ばせて,8,ひとり子に油流れる父の空,8,ひとり子に七個の池の玩具舟
田の畦をうしろに眺め年男,-31.446043,0.953948974609375,0.9999996423721313,年男,新年,,1,眺め,4,"田, 畦, うしろ, 年男",17,7,歳月の影をうしろに日向ぼこ,7,鴬の日枝をうしろに高音哉,7,衣笠の山をうしろに冬籠
晩学をともにしたまふ年男,-31.452114,0.993423581123352,0.9999996423721313,年男,新年,,1,し,3,"晩学, とも, 年男",17,8,短夜をともに迎えし大欅,8,花桐を蒔絵にしたる手箱哉,8,二荒を蒔繪にしたる紅葉哉
かなしみの一つの色に年男,-31.453568,0.9843055009841919,0.9999997019767761,年男,新年,,0,,4,"かなしみ, 一, 色, 年男",17,7,むさし野の一つの宮の李市,7,かなしみの半面の冴え伎藝天,7,かなしみの我ら兄弟夏休
箒目の丸きを選び年男,-31.49426,0.9875417947769165,0.9999997019767761,年男,新年,,1,選び,4,"箒, 丸, き, 年男",17,6,大年の櫛笄を選びゐる,7,栴檀の紫人を選り好み,7,一灯の低きを囲み薬喰
一本の杖を曳き来ぬ年男,-31.497301,0.9948016405105591,0.9999997019767761,年男,新年,,2,"曳き, 来",3,"一, 杖, 年男",17,5,一輪の梅を見て来ぬ年忘,7,一本の竹を伐る音竹の中,7,一湾の日を曳航の初荷船
手の届くところに馴染む年男,-31.499725,0.9926674365997314,0.9999997019767761,年男,新年,,2,"届く, 馴染む",3,"手, ところ, 年男",17,6,手の届くところに掛けて吊し柿,6,手の届くところに鳴けり秋の蝉,6,手の届くところに眼鏡春の風邪
着膨れて妻におくるる年男,-31.500637,0.9904236197471619,0.9999997019767761,年男,新年,,2,"着膨れ, おくる",2,"妻, 年男",17,8,着膨れて敬老の日の俄寒,8,着飾りて眠き刻くる七五三,8,雪を舞ふ傘にかくるる時涙
年男老い岐阜提灯を高く吊り,-31.50953,0.9894372820854187,0.9999996423721313,年男,新年,,1,吊り,4,"年男, 老い, 岐阜, 提灯",17,7,妻買ひし岐阜提灯を妻へ吊る,7,骨の透く岐阜提灯を雲に吊る,8,帰省子に岐阜提灯を吊る老母
年男ひとりたのしむ人ばかり,-31.527405,0.9804679155349731,0.999998927116394,年男,新年,,1,たのしむ,3,"年男, ひとり, 人",17,6,昼の夢ひとりたのしむ柳かな,8,夜濯をひとりたのしくはじめけり,8,僧ひとり門に彳む水鶏かな
仏飯を炊きてさびしき年男,-31.528934,0.9925165176391602,0.9999996423721313,年男,新年,,1,炊き,3,"仏飯, さび, 年男",17,7,鯉守のやがてさびしき初桜,7,北窓を開きさびしき峠見ゆ,8,無花果の真昼さびしき錦蛇
酒もりの夫婦仲よき年男,-31.543337,0.6987239122390747,0.9999996423721313,年男,新年,,0,,4,"酒もり, 夫婦, 仲, 年男",17,8,冬籠隣の夫婦いさかひす,8,三峯の神の雪踏み年男,8,烏骨鶏の夫婦出歩き彼岸寺
大和絵の鬼を見に来て年男,-31.544413,0.9913515448570251,0.9999997019767761,年男,新年,,2,"見, 来",4,"大和, 絵, 鬼, 年男",17,6,房州の波を見に来つ年忘,6,大津絵の鬼が見栄切る年忘,7,大津絵の鬼も見じとや暖鳥
丹沢の松を仰ぎて年男,-31.56649,0.9873871803283691,0.9999996423721313,年男,新年,,1,仰ぎ,3,"丹沢, 松, 年男",17,5,風折の松を仰ぎて西行祭,6,一門の人を集めて年忘,6,待宵の天を仰ぎて虎の舞
四つ足の草を踏みゆく年男,-31.574236,0.9758716225624084,0.9999997019767761,年男,新年,,2,"踏み, ゆく",3,"四つ足, 草, 年男",17,8,桐下駄の音を追ひゆく蛍狩,8,打つ鉄の火色褪めゆく葛嵐,8,一つ啼き枝を踏み替へ寒鴉
年男爺婆つれて戻りけり,-31.581718,0.9814677238464355,0.9999997019767761,年男,新年,けり,2,"つれ, 戻り",3,"年男, 爺婆, けり",17,5,遠乗隊秋雷つれて戻りけり,6,炎天下貌失ひて戻りけり,6,白桃を齢頽れて啜りけり
絨毯を足で拭きゐる年男,-31.59552,0.9862197041511536,0.9999997019767761,年男,新年,,2,"拭き, ゐる",3,"絨毯, 足, 年男",17,8,密会を誰か見てゐる藪椿,8,絨毯を踏む黒人の跣かな,8,露霜の道を掃きをる寺男
酒蔵の影をぬらして年男,-31.617254,0.9821113348007202,0.9999997019767761,年男,新年,,1,ぬらし,3,"酒蔵, 影, 年男",17,6,幼子の袂をぬらし初手水,6,埋墓の石をぬらして盆の雨,7,水底の鯉を濡らして冬の雨
年男しづかに牛を従へて,-31.628422,0.9883827567100525,0.9999996423721313,年男,新年,,1,従へ,2,"年男, 牛",17,6,粥柱しづかに老を養はむ,7,二人静しづかに髪を愛されて,7,波郷忌をしづかに熱を養へり
竹林のまばらになりぬ年男,-31.634283,0.9508898854255676,0.9999997019767761,年男,新年,,1,なり,2,"竹林, 年男",17,6,此頃はまばらになりぬ秋の蝉,7,島人のまばらに坐り施餓鬼堂,7,お祭の日和になりぬ花盛
さりげなく松風わたる年男,-31.64277,0.9844563603401184,0.9999997019767761,年男,新年,,1,松風わたる,2,"松風, 年男",17,7,さりげなく大島紬梅日和,7,さりげなく生死を語る夜の秋,8,さりげなく梅雨封じ込む旅鞄
西行の頬削がれたる年男,-31.646038,0.9814628958702087,0.9999997019767761,年男,新年,,1,削が,3,"西行, 頬, 年男",17,6,松明に導かれたる年男,6,夏痩の頬を流れたる冠紐,7,針金の金気切れたる鳰
年男しづかに刻を経てをりぬ,-31.676527,0.97062087059021,0.9999997019767761,年男,新年,,1,経,2,"年男, 刻",17,6,農学部しづかに接木してをりぬ,7,頬被はるかな山を見てをりぬ,7,年男アロエの夢を見ておりぬ
ひつそりと夜遊びに行く年男,-31.685343,0.9824425578117371,0.9999997019767761,行く年,仲冬,,1,行く,4,"ひつ, そり, 夜遊び, 年男",17,6,ひつそりと犬捕りが行く立葵,8,ひつそりと三千坊の月見哉,8,ひつそりと八丈孤島師走かな
年男次第の風に吹かれ立つ,-31.685602,0.000042557716369628906,0.9999995827674866,年男,新年,,2,"吹か, 立つ",3,"年男, 次第, 風",17,6,壁隣芭蕉の風に吹かれけり,7,羅蛇の如く海風に吹かれ立つ女,7,旋律や夜の木馬の吹かれ立つ
大声の竹となりたる年男,-31.690968,0.11919063329696655,0.9999997019767761,年男,新年,,1,なり,3,"大声, 竹, 年男",17,5,金婚の夢となりたる初暦,5,白波の昼となりたる種選,6,夕かげの声となりたる岩燕
年男遠くの方で死んでゐる,-31.703516,0.9754164814949036,0.9999996423721313,年男,新年,,2,"死ん, ゐる",3,"年男, 遠く, 方",17,6,鐘崎は遠くて鰡が死んでゐる,7,口あけぬ蜆死んでゐる,7,山猫が食器の上で死んでいる
むら雨をもてあましたる年男,-31.70534,0.9829837679862976,0.9999997019767761,年男,新年,,1,もてあまし,3,"むら, 雨, 年男",17,6,浜風をもてあましたる白日傘,6,女手にもてあましたる稲雀,7,鰭酒をもてあましゐる男かな
貝殻の水に映りて年男,-31.70686,0.9831990003585815,0.9999997019767761,年男,新年,,1,映り,3,"貝殻, 水, 年男",17,5,沢瀉の水に映りて月の暈,6,丹の橋の池に映りて牛蛙,6,神風の伊勢に生れて年男
年男出てゆく闇にまぎれけり,-31.707073,0.968185544013977,0.9999997019767761,年男,新年,けり,3,"出, ゆく, まぎれ",3,"年男, 闇, けり",17,6,生まれ出て泡立草にまぎれけり,7,寒詣りたちまち闇にまぎれけり,7,荻の角水辺の色にまぎれけり
柩負ふことにも馴れて年男,-31.708786,0.9895537495613098,0.9999997019767761,年男,新年,,2,"負ふ, 馴れ",3,"柩, こと, 年男",17,6,水を買ふことにも馴れて去年今年,7,神風の伊勢に生れて年男,8,鴉追ふことも一善安居僧
源流を一気に越える年男,-31.722559,0.9726851582527161,0.9999997019767761,年男,新年,,1,越える,3,"源流, 一気, 年男",17,7,子の丈を一気に越ゆる糸瓜苗,7,激流の一隅にゐる水馬,8,猪垣をふわふわ越える紙袋
羽衣の袖を払うて年男,-31.734034,0.9822561144828796,0.9999996423721313,年男,新年,,1,払う,3,"羽衣, 袖, 年男",17,6,一門の人を集めて年忘,6,唐衣筒袖を来て桜狩,7,裏窓の涙を溜めて年移る
傾城の負目見てゐる年男,-31.736809,0.9765685200691223,0.9999997019767761,年男,新年,,2,"負目見, ゐる",3,"傾城, 負目, 年男",17,6,傾城の汐干見て居る二階哉,6,料峭の山を見てゐる里心,6,対岸の人も見てゐる鰯雲
大富士を仰ぎて祈る年男,-31.74395,0.9567828178405762,0.9999997019767761,年男,新年,,2,"仰ぎ, 祈る",2,"大富, 年男",17,6,裏富士を仰ぎて桃の袋掛け,7,赤人の富士を仰ぎて耕せり,8,裏富士を傾き出でて炭車
雲よりも青空匂ふ年男,-31.746498,0.9781304001808167,0.9999997019767761,年男,新年,,1,匂ふ,3,"雲, 青空, 年男",17,6,雲よりも花に従ふ空の色,7,吾よりも妻に商才初戎,7,道よりも天は淋しき鳰
門前の松に上れば年男,-31.748201,0.978082537651062,0.9999997019767761,年男,新年,,1,上れ,3,"門前, 松, 年男",17,6,神風の伊勢に生れて年男,6,門前の流に遊ぶ更衣,6,山焼の雨に終れば鯛蕪
年男一人欠けゆく家路かな,-31.749712,0.9843317866325378,0.9999997019767761,年男,新年,かな,2,"欠け, ゆく",3,"年男, 一人, 家路",17,7,一人の欠けし極月遍路かな,7,黒潮の下の径ゆく遍路かな,7,傀儡の宙を駆けゆく恋路かな
いくたびも草を葺きたる年男,-31.76108,0.987994909286499,0.9999997019767761,年男,新年,,1,葺き,4,"いく, たび, 草, 年男",17,7,いくたびも海見えてくる蕨山,7,いくたびも締め直したる踊下駄,7,いくたびも身を貫かれ雛の夜
湯の客を迎へに来て年男,-31.763123,0.9893798828125,0.9999997019767761,年男,新年,,1,来,4,"湯, 客, 迎, 年男",17,7,講の衆まつ先に来て花祭,7,山の雲七夕竹に来て遊ぶ,7,房州の波を見に来つ年忘
調律師太鼓打込む年男,-31.765566,0.9878031611442566,0.9999996423721313,年男,新年,,1,打込む,3,"調律, 太鼓, 年男",17,6,放下師が鼓打込清水哉,7,灯の渦へ太鼓打込む秩父祭,8,石山の闇を抱込む蛍哉
杉丸太下駄を鳴らして年男,-31.766357,0.9891106486320496,0.9999996423721313,年男,新年,,1,鳴らし,4,"杉, 丸太, 下駄, 年男",17,8,絹糸をぴんと鳴らして縫始,8,杉山に飛白をなして朝桜,8,鰯雲下駄を鳴らして子を呼びに
なだらかな畦を踏み行く年男,-31.769321,0.9318738579750061,0.9999997019767761,行く年,仲冬,,2,"踏み, 行く",2,"畦, 年男",17,7,やはらかき草を踏み行く朧かな,8,なだらかな山から夕日貝割菜,9,赤子抱き干潟を進みくる男
家一つ住み変りたる年男,-31.790873,0.9913725256919861,0.9999995827674866,年男,新年,,1,住み,4,"家, 一, 変り, 年男",17,7,福参つきあたりたる狐穴,7,松明に導かれたる年男,7,鷹一羽舞ひ上りたる幟哉
玉川の二つにわれて年男,-31.791338,0.8678708076477051,0.9999996423721313,年男,新年,,1,われ,3,"玉川, 二, 年男",17,5,神風の伊勢に生れて年男,5,青瀧の二つにわれて物思ふ,6,割箸の二つに折れて年惜しむ
抽斗につめたくなりぬ年男,-31.792013,0.9760568141937256,0.9999997019767761,年男,新年,,1,なり,2,"抽斗, 年男",17,5,風急につめたくなりし稲光,7,耳かきもつめたくなりぬ秋の風,7,初桜空気つめたくなりにけり
かたはらに肩すぼめたる年男,-31.796848,0.9759184718132019,0.9999996423721313,年男,新年,,1,すぼめ,3,"かたはら, 肩, 年男",17,8,かたはらに獏も冬眠するらしき,8,かたはらに炭斗のある安堵感,8,かたはらに南瓜花咲く野菊哉
十本の指の先行く年男,-31.802975,0.977026104927063,0.9999997019767761,行く年,仲冬,,1,先行く,4,"十, 指, 先, 年男",17,6,三峯の神の雪踏み年男,7,灌仏の御指の先や暮の月,7,十月の中の十日の霰哉
農薬の匂ひを引きて年男,-31.809776,0.9767009019851685,0.9999997019767761,年男,新年,,2,"匂ひ, 引き",2,"農薬, 年男",17,7,屑籠の尻を叩きて掃納,7,西行の清水を引きて蓬の香,7,一巻の系図を置きて黴畳
毛絲編む白装束の年男,-31.812464,0.9878778457641602,0.9999997019767761,年男,新年,,1,編む,5,"毛, 絲, 白, 装束, 年男",17,6,擦れ違ふ白装束の草虱,7,獏眺む黒外套の大男,7,鮎占い白装束の山人ら
藍甕に首だしてゐる年男,-31.835524,0.9702332019805908,0.9999997019767761,年男,新年,,2,"首だし, ゐる",3,"藍甕, 首, 年男",17,6,春蘭に首をかしげてゐる男,7,藍壺に泥落したる燕哉,7,一病に正座して割る寒卵
快楽のつづきにありぬ年男,-31.840683,0.9186336398124695,0.9999997019767761,年男,新年,,1,あり,3,"快楽, つづき, 年男",17,7,咋今の風邪でありぬ作男,7,遊船のへさきにありぬ西の月,7,喪失の途中にありぬ蝸牛
老いてなほ一人欠けたる年男,-31.854826,0.9906869530677795,0.9999997019767761,年男,新年,,2,"老い, 欠け",2,"一人, 年男",17,7,老いてなほ草にひそめる囮守,8,老いてなほ夢多くして雛祭,8,老いてなほ鋼の如く耕せり
俳諧の友ともなれず年男,-31.856678,0.9871477484703064,0.9999997019767761,年男,新年,,1,なれ,3,"俳諧, 友, 年男",17,7,節分の鬼にもなれず漂へり,7,神風の伊勢に生れて年男,7,考へる葦ともなれず風の中
堀割を煙らして行く年男,-31.870453,0.9851245880126953,0.9999996423721313,行く年,仲冬,,3,"煙ら, し, 行く",3,"堀, 割, 年男",17,7,短夜を継たしてなく蛙哉,7,雛棚に糞をして行く雀哉,7,藪入の供して行や大男
米こぼす餓鬼大将の年男,-31.888584,0.9774137735366821,0.9999997019767761,年男,新年,,1,こぼす,4,"米, 餓鬼, 大将, 年男",17,7,金魚掬ひ昔餓鬼大将の腕,8,露こぼす秋海棠や手水鉢,8,欠席の餓鬼大将は春の風邪
才蔵の前に並べる年男,-31.893923,0.837901771068573,0.901051938533783,年男,新年,,1,並べる,3,"才蔵, 前, 年男",17,6,提灯の水に泛べる螢狩,6,蓮池の前に涼めり作男,6,啓蟄の枝に並べる雀かな
指さして人に蹤きゆく年男,-31.917078,0.984140932559967,0.9999997019767761,年男,新年,,3,"指さし, 蹤き, ゆく",2,"人, 年男",17,7,飛火野の鹿に蹤きゆく懐手,7,汐さして青葦沈みゆく晩夏,7,母に似る人に蹤きゆく秋暑中
混沌と仲直りする年男,-31.922283,0.9835802912712097,0.9999994039535522,年男,新年,,1,仲直りする,2,"仲直り, 年男",17,7,松明に導かれたる年男,8,聖鐘に梵鐘和する夕桜,8,梟や底光りせる皿秤
年男同志会議に馴染みけり,-31.923553,0.9869570732116699,0.9999997019767761,年男,新年,けり,1,馴染み,4,"年男, 同志, 会議, けり",17,7,半夏生起居も雨に馴染みけり,8,雷鳥の樹海遥にしづみけり,8,月光の凍滝に刻蒼みけり
馬に水飲ませて戻る年男,-31.929947,0.9886100888252258,0.9999997019767761,年男,新年,,2,"飲ま, 戻る",3,"馬, 水, 年男",17,7,鶯に水を浴せて夕涼,7,鶯に水を浴せて御祓哉,7,草餅につきませてある霞哉
糟糠のこころもとなく年男,-31.932293,0.9756389856338501,0.9999997019767761,年男,新年,,0,,2,"糟糠, 年男",17,5,紙箱のこころもとなし蓬餅,6,心拍のこころもとなき法師蝉,7,風花のこころおきなく山山葵
寺深く馬繋ぎゆく年男,-31.932686,0.988923966884613,0.9999997019767761,年男,新年,,1,馬繋ぎゆく,3,"寺, 馬繋ぎ, 年男",17,7,鶯や尼と老いゆく寺男,7,初霞娘の嫁ぎゆく麓村,7,馬市の馬帰りゆく芒原
年男二人さみしき別れかな,-31.934206,0.9876591563224792,0.9999995231628418,年男,新年,かな,2,"さみし, き",3,"年男, 二人, 別れ",17,7,時の来て朴と涼しき別れかな,7,赤松の方のさみしき夏暁かな,7,冬靄に人なつかしき疲れかな
学校も塀の外なる年男,-31.947996,0.0012526512145996094,0.9999996423721313,年男,新年,,0,,4,"学校, 塀, 外, 年男",17,6,又六が門の外なる柳哉,6,白露や何の果なる寺男,6,監獄の塀の外なる氷かな
曳き売りの勝手口より年男,-31.955894,0.976668119430542,0.9999997019767761,年男,新年,,0,,4,"曳き, 売り, 勝手口, 年男",17,8,甘き香の現像室より旱星,8,味噌蔵の暗き口より雪蛍,8,なまはげの面の中より優男
浜道を大股でゆく年男,-31.956213,0.9902340173721313,0.9999997019767761,年男,新年,,1,ゆく,3,"浜道, 大股, 年男",17,7,鶯や尼と老いゆく寺男,7,百姓の大股がゆく実南天,7,口紅を指先で溶く初鏡
一管の笛の大きな年男,-31.959333,0.9891781806945801,0.9999997019767761,年男,新年,,0,,4,"一, 管, 笛, 年男",17,5,打水の水の大きな塊よ,6,一枚の春の大空観世音,6,抱擁の神に大きな威銃
年男童女しずかに歩きだす,-31.961786,0.9818435311317444,0.9999996423721313,年男,新年,,2,"歩き, だす",2,"年男, 童女",17,7,十三夜少女しずかに血を流す,7,麦の秋無人駅から歩きだす,7,繊月や女しずかにひきいられ
切株に音なくひびく年男,-31.975077,0.9829506874084473,0.9999997019767761,年男,新年,,1,ひびく,3,"切株, 音, 年男",17,7,切株にたちて暮春の山男,7,高層に夜廻りひびく年の暮,7,麻衣音よくひびき花鋏
年男膝を揃へて降り来る,-31.981306,0.989337682723999,0.9999996423721313,年男,新年,,3,"揃へ, 降り, 来る",2,"年男, 膝",17,5,年男鬼の顔して戻り来る,7,夏花摘女寺へと降り来し,7,七五三形揃へて銀杏散る
高砂の松の青さの年男,-31.985703,0.9776463508605957,0.9999997019767761,年男,新年,,0,,3,"高砂, 松, 年男",17,6,一本の松の高さや芒原,6,銀冠の軸の青さよ翁草,6,三峯の神の雪踏み年男
年男犬猫に吠えられ戻りけり,-32.001213,0.9884991645812988,0.9999997019767761,年男,新年,けり,2,"吠え, 戻り",3,"年男, 猫, けり",17,7,年忘乱に至らず終りけり,8,明月の中に何やら踊りけり,8,大雷雨見舞あきらめ戻りけり
切株の匂ひを持ちて年男,-32.015274,0.9877422451972961,0.9999997019767761,年男,新年,,2,"匂ひ, 持ち",2,"切株, 年男",17,7,神風の伊勢に生れて年男,7,朝刊の匂ひを開く春隣,7,早春の鳶を放ちて宝寺
上げ潮の流れとどまる年男,-32.021652,0.9588583707809448,0.9999997019767761,年男,新年,,1,とどまる,3,"上げ潮, 流れ, 年男",17,6,初茜羊の流れとどまらず,7,凍雲の影のとどまる柿畑,7,砂金や流れとどまる赤躑躅
門茶屋の前通りたる年男,-32.030003,0.984644889831543,0.9999996423721313,年男,新年,,0,,5,"門, 茶屋, 前, 通り, 年男",17,7,洗濯屋の前通りけり青葉冷,7,五段目の楮承りぬ年男,7,松明に導かれたる年男
腕組めることも老の年男,-32.041157,0.9721473455429077,0.9999997019767761,年男,新年,,1,組める,4,"腕, こと, 老, 年男",17,6,髪染めることも一つの年用意,7,腕組める女は暗し竹落葉,7,君と居ること現実の春灯
年男老いてうなじをこぼしけり,-32.04566,0.9916789531707764,0.9999997019767761,年男,新年,けり,2,"老い, こぼし",3,"年男, うなじ, けり",17,6,懸巣鳴いて榎の花をこぼしけり,7,囚はれて凍蝶銀をこぼしけり,8,年木樵峯に車をのぼしけり
大津絵の鬼と道連れ年男,-32.04829,0.8181276917457581,0.9999997019767761,年男,新年,,0,,5,"大津, 絵, 鬼, 道連れ, 年男",17,6,大津絵の鬼と遊びし夏初め,6,大津絵の鬼が見栄切る年忘,6,大津絵の鬼枕上ミ宿夜長
家系図に鉛筆多き年男,-32.057785,0.9859778881072998,0.9999997019767761,年男,新年,,0,,4,"家系, 図, 鉛筆, 年男",17,7,家系図に加筆せし跡春の雷,7,枇杷黄に信心多き佃島,8,家根舟の提灯多し朧月
年男ひとりひとりでひとり寝る,-32.07028,0.9844358563423157,0.9999997019767761,年男,新年,,1,寝る,3,"年男, ひとりひとり, ひとり",17,7,寒卵割りひとり旅ひとりの餉,7,人ひとりひとりびとりの春灯,8,蝉噪や葬列ひとりひとりに影
みちのくの古城を囲む年男,-32.075417,0.9878647327423096,0.9999997019767761,年男,新年,,1,囲む,3,"みちのく, 古城, 年男",17,6,みちのくの古き教会雪の果,7,みちのくの玉川蝉の名所哉,7,みちのくの水の味しれ心太
島人を数へてゐたる年男,-32.07591,0.9573702216148376,0.9999997019767761,年男,新年,,2,"数へ, ゐ",2,"島人, 年男",17,6,雨脚を数へてゐたり三の酉,6,鯉揚げを控へてゐたる冬桜,7,老人の坐つてゐたる海の家
声かけて子を抱きあげて年男,-32.087605,0.98543781042099,0.9999997019767761,年男,新年,,2,"声かけ, 抱きあげ",3,"声, 子, 年男",17,8,綱かけて蔵を引きずる日永哉,8,声かけてやさしき返事秋簾,8,冬桜三十畳を拭きあげて
一病を孤独にしたり年男,-32.091106,0.9891340136528015,0.9999996423721313,年男,新年,,1,し,3,"一, 孤独, 年男",17,7,一病を余命に加え花の冷,7,一年を一表にして事務納,7,一村を日溜にして蜜柑山
年男畳みてありし机かな,-32.093147,0.9904005527496338,0.9999997019767761,年男,新年,かな,2,"畳み, あり",2,"年男, 机",17,6,年礼の乱に終りし袴かな,6,山中に銀行ありし櫻かな,7,年男飲めば痛快男子かな
大空の風呂敷包む年男,-32.09633,0.9726135730743408,0.9999997019767761,年男,新年,,1,包む,3,"大空, 風呂敷, 年男",17,6,焼藷の風呂敷包誰が持つ,7,三峯の神の雪踏み年男,7,大仏の横顔かすむ夕哉
